Field of View,Cell ID,X,Y,Region,louvain,celltype,cellname,grid,spot
3,47,847.67,928.91,Cortex,4,Excitatory neuron,3_47,5_5,45
4,27,1025.6,907.36,Cortex,11,Excitatory neuron,4_27,5_5,45
3,41,993.52,885.85,Cortex,6,Excitatory neuron,3_41,5_5,45
1,15,926.19,982.7,Cortex,9,Excitatory neuron,1_15,5_5,45
6,52,1027.8,886.77,Choroid Plexus,1,Endothelial,6_52,5_5,45
5,168,969.54,868.85,SVZ,15,Interneuron,5_168,5_5,45
6,100,919.96,986.27,Choroid Plexus,2,Endothelial,6_100,5_5,45
3,45,914.75,902.99,Cortex,2,Endothelial,3_45,5_5,45
6,97,870.32,862.08,Choroid Plexus,1,Endothelial,6_97,5_5,45
4,31,1015.0,963.72,Cortex,16,Oligodendrocytes,4_31,5_5,45
0,15,1021.4,931.14,Cortex,3,Excitatory neuron,0_15,5_5,45
3,58,1010.8,1121.2,Cortex,4,Excitatory neuron,3_58,5_6,46
5,231,1018.3,1134.5,SVZ,15,Interneuron,5_231,5_6,46
6,72,1013.4,1169.5,Choroid Plexus,1,Endothelial,6_72,5_6,46
0,106,886.81,1056.5,Cortex,25,Oligodendrocytes,0_106,5_6,46
2,21,999.3,1015.8,Cortex,19,Astrocytes,2_21,5_6,46
1,60,1002.1,1094.2,Cortex,2,Endothelial,1_60,5_6,46
5,97,893.65,1027.4,SVZ,15,Interneuron,5_97,5_6,46
3,53,904.01,1039.9,Cortex,11,Excitatory neuron,3_53,5_6,46
0,105,996.9,1054.7,Cortex,25,Oligodendrocytes,0_105,5_6,46
6,13,912.97,1120.8,Choroid Plexus,1,Endothelial,6_13,5_6,46
5,211,1011.2,1048.8,SVZ,20,Microglia,5_211,5_6,46
5,220,911.84,1082.0,SVZ,8,Astrocytes,5_220,5_6,46
5,26,949.75,1115.2,SVZ,21,Excitatory neuron,5_26,5_6,46
1,79,945.65,1316.1,Cortex,6,Excitatory neuron,1_79,5_7,47
0,114,921.13,1260.5,Cortex,7,Interneuron,0_114,5_7,47
2,30,872.18,1260.4,Cortex,19,Astrocytes,2_30,5_7,47
5,103,991.98,1281.6,SVZ,8,Astrocytes,5_103,5_7,47
5,257,922.88,1266.4,SVZ,14,Astrocytes,5_257,5_7,47
5,101,995.7,1248.2,SVZ,22,Endothelial,5_101,5_7,47
5,264,1011.0,1322.9,SVZ,8,Astrocytes,5_264,5_7,47
4,76,932.93,1213.5,Cortex,4,Excitatory neuron,4_76,5_7,47
5,245,961.03,1191.1,SVZ,12,Excitatory neuron,5_245,5_7,47
5,252,909.97,1231.2,SVZ,26,Unannotated,5_252,5_7,47
4,79,847.99,1286.6,Cortex,11,Excitatory neuron,4_79,5_7,47
5,249,1013.2,1214.3,SVZ,24,Interneuron,5_249,5_7,47
1,75,1021.7,1287.0,Cortex,10,Astrocytes,1_75,5_7,47
3,67,894.31,1208.5,Cortex,5,Excitatory neuron,3_67,5_7,47
1,72,900.27,1238.5,Cortex,19,Astrocytes,1_72,5_7,47
5,244,902.94,1193.8,SVZ,8,Astrocytes,5_244,5_7,47
5,105,935.97,1323.0,SVZ,8,Astrocytes,5_105,5_7,47
5,48,1008.0,1431.7,SVZ,20,Microglia,5_48,5_8,48
2,37,998.12,1506.5,Cortex,18,Excitatory neuron,2_37,5_8,48
1,93,918.22,1498.7,Cortex,9,Excitatory neuron,1_93,5_8,48
3,79,972.21,1479.9,Cortex,18,Excitatory neuron,3_79,5_8,48
6,23,853.0,1524.0,Choroid Plexus,1,Endothelial,6_23,5_8,48
1,87,861.75,1422.2,Cortex,9,Excitatory neuron,1_87,5_8,48
5,276,912.22,1453.7,SVZ,16,Oligodendrocytes,5_276,5_8,48
0,37,894.7,1428.8,Cortex,10,Astrocytes,0_37,5_8,48
4,84,890.9,1517.0,Cortex,25,Oligodendrocytes,4_84,5_8,48
2,53,876.46,1435.8,Cortex,7,Interneuron,2_53,5_8,48
2,40,974.49,1642.2,Cortex,2,Endothelial,2_40,5_9,49
5,114,975.84,1676.5,SVZ,20,Microglia,5_114,5_9,49
1,98,856.63,1602.7,Cortex,6,Excitatory neuron,1_98,5_9,49
4,88,872.21,1595.3,Cortex,16,Oligodendrocytes,4_88,5_9,49
1,106,1020.7,1715.3,Cortex,13,Excitatory neuron,1_106,5_9,49
2,38,906.57,1575.0,Cortex,2,Endothelial,2_38,5_9,49
6,28,922.88,1596.3,Choroid Plexus,1,Endothelial,6_28,5_9,49
0,48,973.21,1705.6,Cortex,10,Astrocytes,0_48,5_9,49
1,107,918.24,1736.8,Cortex,13,Excitatory neuron,1_107,5_10,50
0,50,854.77,1725.6,Cortex,20,Microglia,0_50,5_10,50
3,99,972.19,1767.1,Cortex,11,Excitatory neuron,3_99,5_10,50
2,43,873.9,1791.7,Cortex,18,Excitatory neuron,2_43,5_10,50
2,1,1033.1,257.05,Cortex,2,Endothelial,2_1,6_1,51
3,4,1033.3,286.35,Cortex,5,Excitatory neuron,3_4,6_1,51
0,53,1090.2,215.81,Cortex,7,Interneuron,0_53,6_1,51
5,124,1191.2,404.88,SVZ,12,Excitatory neuron,5_124,6_2,52
5,129,1193.7,455.84,SVZ,11,Excitatory neuron,5_129,6_2,52
1,23,1083.2,412.02,Cortex,19,Astrocytes,1_23,6_2,52
3,13,1091.3,451.51,Cortex,5,Excitatory neuron,3_13,6_2,52
4,9,1049.9,442.5,Cortex,16,Oligodendrocytes,4_9,6_2,52
6,87,1105.1,381.5,Choroid Plexus,1,Endothelial,6_87,6_2,52
0,57,1117.0,312.56,Cortex,3,Excitatory neuron,0_57,6_2,52
5,59,1206.6,308.55,SVZ,7,Interneuron,5_59,6_2,52
3,7,1135.9,326.69,Cortex,4,Excitatory neuron,3_7,6_2,52
4,4,1175.3,314.15,Cortex,16,Oligodendrocytes,4_4,6_2,52
6,32,1175.0,427.15,Choroid Plexus,1,Endothelial,6_32,6_2,52
2,5,1174.9,454.87,Cortex,18,Excitatory neuron,2_5,6_2,52
6,86,1034.8,358.87,Choroid Plexus,1,Endothelial,6_86,6_2,52
2,7,1112.1,572.82,Cortex,5,Excitatory neuron,2_7,6_3,53
4,17,1142.4,641.94,Cortex,5,Excitatory neuron,4_17,6_3,53
5,78,1147.5,632.11,SVZ,13,Excitatory neuron,5_78,6_3,53
5,137,1205.0,533.3,SVZ,15,Interneuron,5_137,6_3,53
6,36,1163.7,533.74,Choroid Plexus,1,Endothelial,6_36,6_3,53
0,3,1185.9,507.11,Cortex,3,Excitatory neuron,0_3,6_3,53
4,68,1174.3,549.17,Cortex,16,Oligodendrocytes,4_68,6_3,53
1,27,1080.9,561.08,Cortex,9,Excitatory neuron,1_27,6_3,53
6,34,1214.9,479.35,Choroid Plexus,1,Endothelial,6_34,6_3,53
5,143,1068.6,629.86,SVZ,20,Microglia,5_143,6_3,53
5,67,1033.2,507.38,SVZ,20,Microglia,5_67,6_3,53
2,4,1037.7,482.11,Cortex,9,Excitatory neuron,2_4,6_3,53
4,70,1055.9,578.53,Cortex,5,Excitatory neuron,4_70,6_3,53
5,142,1215.3,619.27,SVZ,23,Interneuron,5_142,6_3,53
5,146,1192.1,656.44,SVZ,22,Endothelial,5_146,6_4,54
3,37,1052.8,811.34,Cortex,4,Excitatory neuron,3_37,6_4,54
6,4,1106.1,773.68,Choroid Plexus,1,Endothelial,6_4,6_4,54
5,158,1104.5,803.24,SVZ,12,Excitatory neuron,5_158,6_4,54
3,23,1184.0,657.09,Cortex,4,Excitatory neuron,3_23,6_4,54
5,151,1181.9,731.84,SVZ,24,Interneuron,5_151,6_4,54
5,153,1134.9,751.55,SVZ,24,Interneuron,5_153,6_4,54
5,149,1117.1,696.32,SVZ,14,Astrocytes,5_149,6_4,54
1,38,1213.6,804.34,Cortex,2,Endothelial,1_38,6_4,54
0,6,1142.4,742.97,Cortex,7,Interneuron,0_6,6_4,54
5,155,1197.0,780.63,SVZ,24,Interneuron,5_155,6_4,54
5,86,1156.6,804.03,SVZ,12,Excitatory neuron,5_86,6_4,54
4,24,1199.9,799.52,Cortex,18,Excitatory neuron,4_24,6_4,54
5,147,1161.9,682.58,SVZ,21,Excitatory neuron,5_147,6_4,54
2,69,1042.1,767.07,Cortex,9,Excitatory neuron,2_69,6_4,54
6,5,1186.7,794.79,Choroid Plexus,1,Endothelial,6_5,6_4,54
1,50,1039.8,991.14,Cortex,2,Endothelial,1_50,6_5,55
5,196,1038.8,983.53,SVZ,21,Excitatory neuron,5_196,6_5,55
2,18,1145.7,942.57,Cortex,8,Astrocytes,2_18,6_5,55
5,180,1033.4,931.78,SVZ,21,Excitatory neuron,5_180,6_5,55
2,19,1047.9,969.42,Cortex,10,Astrocytes,2_19,6_5,55
1,45,1159.9,894.7,Cortex,6,Excitatory neuron,1_45,6_5,55
5,185,1125.1,947.05,SVZ,12,Excitatory neuron,5_185,6_5,55
3,48,1124.1,915.51,Cortex,4,Excitatory neuron,3_48,6_5,55
5,170,1166.2,884.25,SVZ,8,Astrocytes,5_170,6_5,55
5,163,1048.3,841.21,SVZ,17,Excitatory neuron,5_163,6_5,55
5,176,1082.5,898.77,SVZ,14,Astrocytes,5_176,6_5,55
6,55,1188.4,937.38,Choroid Plexus,1,Endothelial,6_55,6_5,55
5,169,1196.3,867.79,SVZ,9,Excitatory neuron,5_169,6_5,55
6,53,1090.8,919.48,Choroid Plexus,1,Endothelial,6_53,6_5,55
5,201,1084.1,1004.8,SVZ,8,Astrocytes,5_201,6_5,55
4,25,1052.5,858.53,Cortex,4,Excitatory neuron,4_25,6_5,55
4,32,1214.2,976.64,Cortex,11,Excitatory neuron,4_32,6_5,55
5,190,1194.7,955.89,SVZ,22,Endothelial,5_190,6_5,55
0,107,1198.5,1077.4,Cortex,7,Interneuron,0_107,6_6,56
1,66,1197.8,1158.6,Cortex,6,Excitatory neuron,1_66,6_6,56
5,237,1081.6,1145.1,SVZ,21,Excitatory neuron,5_237,6_6,56
3,63,1083.2,1176.6,Cortex,4,Excitatory neuron,3_63,6_6,56
6,66,1093.3,1104.9,Choroid Plexus,1,Endothelial,6_66,6_6,56
0,113,1127.0,1172.7,Cortex,3,Excitatory neuron,0_113,6_6,56
4,36,1140.8,1085.8,Cortex,5,Excitatory neuron,4_36,6_6,56
5,216,1084.6,1060.4,SVZ,20,Microglia,5_216,6_6,56
1,61,1103.8,1102.7,Cortex,6,Excitatory neuron,1_61,6_6,56
4,75,1059.2,1135.8,Cortex,10,Astrocytes,4_75,6_6,56
5,222,1066.3,1096.4,SVZ,8,Astrocytes,5_222,6_6,56
5,256,1213.1,1257.1,SVZ,2,Endothelial,5_256,6_7,57
2,89,1202.5,1199.5,Cortex,2,Endothelial,2_89,6_7,57
5,247,1167.4,1203.0,SVZ,15,Interneuron,5_247,6_7,57
5,251,1073.5,1223.1,SVZ,15,Interneuron,5_251,6_7,57
4,78,1081.0,1280.7,Cortex,22,Endothelial,4_78,6_7,57
3,74,1147.6,1353.1,Cortex,5,Excitatory neuron,3_74,6_7,57
5,260,1146.5,1287.0,SVZ,12,Excitatory neuron,5_260,6_7,57
6,104,1136.2,1198.8,Choroid Plexus,1,Endothelial,6_104,6_7,57
5,268,1132.9,1333.9,SVZ,2,Endothelial,5_268,6_7,57
2,32,1122.9,1357.8,Cortex,9,Excitatory neuron,2_32,6_7,57
2,26,1073.6,1212.2,Cortex,18,Excitatory neuron,2_26,6_7,57
1,76,1117.7,1293.9,Cortex,19,Astrocytes,1_76,6_7,57
5,258,1073.8,1272.5,SVZ,17,Excitatory neuron,5_258,6_7,57
5,266,1078.5,1322.9,SVZ,12,Excitatory neuron,5_266,6_7,57
4,54,1058.5,1443.8,Cortex,4,Excitatory neuron,4_54,6_8,58
5,275,1061.1,1446.7,SVZ,8,Astrocytes,5_275,6_8,58
4,57,1212.3,1473.5,Cortex,13,Excitatory neuron,4_57,6_8,58
0,42,1069.0,1515.1,Cortex,10,Astrocytes,0_42,6_8,58
1,95,1205.4,1539.0,Cortex,2,Endothelial,1_95,6_8,58
3,78,1101.1,1462.9,Cortex,23,Interneuron,3_78,6_8,58
2,35,1168.7,1459.4,Cortex,7,Interneuron,2_35,6_8,58
5,270,1129.0,1382.2,SVZ,20,Microglia,5_270,6_8,58
3,80,1185.6,1503.2,Cortex,6,Excitatory neuron,3_80,6_8,58
1,91,1109.0,1461.1,Cortex,3,Excitatory neuron,1_91,6_8,58
5,271,1187.0,1392.8,SVZ,15,Interneuron,5_271,6_8,58
1,104,1164.1,1649.6,Cortex,6,Excitatory neuron,1_104,6_9,59
3,92,1050.7,1631.9,Cortex,2,Endothelial,3_92,6_9,59
3,90,1137.3,1593.3,Cortex,4,Excitatory neuron,3_90,6_9,59
6,29,1107.8,1590.5,Choroid Plexus,1,Endothelial,6_29,6_9,59
1,97,1087.2,1575.8,Cortex,20,Microglia,1_97,6_9,59
4,61,1077.3,1600.3,Cortex,11,Excitatory neuron,4_61,6_9,59
4,63,1197.6,1671.7,Cortex,18,Excitatory neuron,4_63,6_9,59
3,98,1185.9,1740.7,Cortex,4,Excitatory neuron,3_98,6_10,60
0,49,1201.2,1726.0,Cortex,7,Interneuron,0_49,6_10,60
4,98,1129.9,1821.6,Cortex,4,Excitatory neuron,4_98,6_10,60
3,103,1108.7,1832.8,Cortex,5,Excitatory neuron,3_103,6_10,60
4,101,1055.6,1903.3,Cortex,5,Excitatory neuron,4_101,6_10,60
1,108,1046.5,1825.1,Cortex,6,Excitatory neuron,1_108,6_10,60
0,67,1319.2,234.32,Cortex,13,Excitatory neuron,0_67,7_1,61
5,58,1291.3,288.34,SVZ,7,Interneuron,5_58,7_1,61
5,53,1341.3,175.17,SVZ,7,Interneuron,5_53,7_1,61
4,2,1253.3,272.22,Cortex,10,Astrocytes,4_2,7_1,61
1,17,1354.5,178.6,Cortex,13,Excitatory neuron,1_17,7_1,61
5,49,1381.4,415.23,SVZ,14,Astrocytes,5_49,7_2,62
5,50,1350.5,425.35,SVZ,11,Excitatory neuron,5_50,7_2,62
5,130,1347.0,467.32,SVZ,12,Excitatory neuron,5_130,7_2,62
5,121,1326.8,365.9,SVZ,8,Astrocytes,5_121,7_2,62
5,1,1318.4,438.57,Cortex,8,Astrocytes,5_1,7_2,62
0,1,1305.7,414.98,Cortex,13,Excitatory neuron,0_1,7_2,62
3,8,1297.7,352.94,Cortex,4,Excitatory neuron,3_8,7_2,62
5,64,1286.1,406.16,SVZ,8,Astrocytes,5_64,7_2,62
5,52,1282.8,472.81,SVZ,12,Excitatory neuron,5_52,7_2,62
6,89,1386.3,399.33,Choroid Plexus,1,Endothelial,6_89,7_2,62
5,61,1354.5,339.12,SVZ,21,Excitatory neuron,5_61,7_2,62
6,88,1257.8,380.21,Choroid Plexus,1,Endothelial,6_88,7_2,62
5,2,1266.6,443.21,SVZ,8,Astrocytes,5_2,7_2,62
5,51,1237.8,471.52,SVZ,8,Astrocytes,5_51,7_2,62
5,125,1237.0,405.36,SVZ,21,Excitatory neuron,5_125,7_2,62
6,2,1301.4,655.32,Choroid Plexus,1,Endothelial,6_2,7_3,63
0,81,1238.0,597.74,Cortex,6,Excitatory neuron,0_81,7_3,63
3,15,1285.5,526.38,Cortex,20,Microglia,3_15,7_3,63
5,135,1288.2,521.83,SVZ,17,Excitatory neuron,5_135,7_3,63
5,138,1296.7,550.37,SVZ,17,Excitatory neuron,5_138,7_3,63
4,69,1237.7,565.2,Cortex,10,Astrocytes,4_69,7_3,63
0,85,1298.3,606.25,Cortex,3,Excitatory neuron,0_85,7_3,63
3,105,1298.9,646.27,Cortex,4,Excitatory neuron,3_105,7_3,63
2,49,1309.2,499.93,Cortex,23,Interneuron,2_49,7_3,63
3,19,1234.0,592.7,Cortex,4,Excitatory neuron,3_19,7_3,63
1,30,1320.5,575.85,Cortex,3,Excitatory neuron,1_30,7_3,63
6,90,1322.6,529.93,Choroid Plexus,2,Endothelial,6_90,7_3,63
5,139,1325.8,561.68,SVZ,22,Endothelial,5_139,7_3,63
1,33,1376.3,647.65,Cortex,7,Interneuron,1_33,7_3,63
5,74,1366.0,582.24,SVZ,14,Astrocytes,5_74,7_3,63
5,134,1336.7,507.72,SVZ,17,Excitatory neuron,5_134,7_3,63
4,12,1365.5,553.75,Cortex,16,Oligodendrocytes,4_12,7_3,63
2,9,1365.4,629.16,Cortex,9,Excitatory neuron,2_9,7_3,63
5,133,1385.5,500.0,SVZ,17,Excitatory neuron,5_133,7_3,63
5,141,1280.9,600.11,SVZ,8,Astrocytes,5_141,7_3,63
0,86,1401.0,619.94,Cortex,7,Interneuron,0_86,7_3,63
6,92,1247.1,579.42,Choroid Plexus,1,Endothelial,6_92,7_3,63
5,140,1261.7,571.44,SVZ,8,Astrocytes,5_140,7_3,63
2,8,1240.8,601.12,Cortex,6,Excitatory neuron,2_8,7_3,63
1,28,1255.1,546.74,Cortex,25,Oligodendrocytes,1_28,7_3,63
5,144,1256.2,646.6,SVZ,22,Endothelial,5_144,7_3,63
4,73,1335.0,809.99,Cortex,5,Excitatory neuron,4_73,7_4,64
4,18,1401.1,664.95,Cortex,5,Excitatory neuron,4_18,7_4,64
6,46,1280.7,717.68,Choroid Plexus,1,Endothelial,6_46,7_4,64
5,84,1248.8,782.47,SVZ,22,Endothelial,5_84,7_4,64
2,13,1231.8,782.75,Cortex,19,Astrocytes,2_13,7_4,64
1,34,1224.7,662.74,Cortex,9,Excitatory neuron,1_34,7_4,64
2,11,1351.7,731.0,Cortex,13,Excitatory neuron,2_11,7_4,64
5,161,1232.2,821.94,SVZ,26,Unannotated,5_161,7_4,64
4,72,1270.6,676.58,Cortex,11,Excitatory neuron,4_72,7_4,64
3,106,1352.2,718.58,Cortex,18,Excitatory neuron,3_106,7_4,64
5,152,1277.6,737.05,SVZ,22,Endothelial,5_152,7_4,64
5,150,1221.7,708.18,SVZ,12,Excitatory neuron,5_150,7_4,64
5,145,1313.2,657.35,SVZ,22,Endothelial,5_145,7_4,64
1,44,1402.5,865.38,Cortex,3,Excitatory neuron,1_44,7_5,65
6,51,1324.8,838.48,Choroid Plexus,1,Endothelial,6_51,7_5,65
3,46,1374.1,897.6,Cortex,2,Endothelial,3_46,7_5,65
2,15,1336.0,845.58,Cortex,19,Astrocytes,2_15,7_5,65
5,13,1333.2,987.57,SVZ,12,Excitatory neuron,5_13,7_5,65
5,183,1318.2,933.31,SVZ,24,Interneuron,5_183,7_5,65
5,12,1386.1,980.5,SVZ,22,Endothelial,5_12,7_5,65
5,10,1359.5,968.53,SVZ,12,Excitatory neuron,5_10,7_5,65
5,173,1333.4,894.12,SVZ,22,Endothelial,5_173,7_5,65
0,99,1357.2,890.97,Cortex,3,Excitatory neuron,0_99,7_5,65
4,30,1346.7,921.01,Cortex,5,Excitatory neuron,4_30,7_5,65
5,182,1396.7,930.3,SVZ,13,Excitatory neuron,5_182,7_5,65
6,56,1351.3,926.91,Choroid Plexus,1,Endothelial,6_56,7_5,65
5,166,1223.0,855.49,SVZ,22,Endothelial,5_166,7_5,65
6,59,1289.4,998.08,Choroid Plexus,2,Endothelial,6_59,7_5,65
1,48,1388.5,972.1,Cortex,9,Excitatory neuron,1_48,7_5,65
6,54,1240.0,926.09,Choroid Plexus,1,Endothelial,6_54,7_5,65
5,200,1283.5,997.62,SVZ,7,Interneuron,5_200,7_5,65
6,57,1313.2,948.98,Choroid Plexus,8,Astrocytes,6_57,7_5,65
0,101,1308.9,937.98,Cortex,3,Excitatory neuron,0_101,7_5,65
6,71,1344.0,1157.3,Choroid Plexus,1,Endothelial,6_71,7_6,66
3,56,1345.6,1088.2,Cortex,4,Excitatory neuron,3_56,7_6,66
5,23,1249.3,1094.2,SVZ,15,Interneuron,5_23,7_6,66
6,12,1243.9,1107.9,Choroid Plexus,1,Endothelial,6_12,7_6,66
6,14,1241.4,1161.4,Choroid Plexus,1,Endothelial,6_14,7_6,66
1,67,1370.7,1173.5,Cortex,6,Excitatory neuron,1_67,7_6,66
6,64,1390.7,1069.4,Choroid Plexus,2,Endothelial,6_64,7_6,66
3,61,1259.8,1137.3,Cortex,4,Excitatory neuron,3_61,7_6,66
5,238,1314.4,1152.6,SVZ,12,Excitatory neuron,5_238,7_6,66
1,55,1311.8,1064.3,Cortex,3,Excitatory neuron,1_55,7_6,66
6,10,1261.3,1052.6,Choroid Plexus,2,Endothelial,6_10,7_6,66
5,19,1304.6,1037.8,SVZ,21,Excitatory neuron,5_19,7_6,66
1,56,1223.2,1068.7,Cortex,6,Excitatory neuron,1_56,7_6,66
5,241,1383.3,1171.9,SVZ,21,Excitatory neuron,5_241,7_6,66
5,242,1264.2,1188.7,SVZ,14,Astrocytes,5_242,7_6,66
0,24,1378.9,1066.2,Cortex,7,Interneuron,0_24,7_6,66
0,23,1293.3,1054.1,Cortex,2,Endothelial,0_23,7_6,66
5,259,1369.4,1281.2,SVZ,8,Astrocytes,5_259,7_7,67
5,269,1390.7,1330.0,SVZ,8,Astrocytes,5_269,7_7,67
4,45,1389.3,1260.8,Cortex,11,Excitatory neuron,4_45,7_7,67
5,38,1394.3,1222.6,SVZ,17,Excitatory neuron,5_38,7_7,67
5,102,1293.6,1281.9,SVZ,2,Endothelial,5_102,7_7,67
3,69,1227.8,1268.2,Cortex,2,Endothelial,3_69,7_7,67
2,76,1273.9,1232.8,Cortex,25,Oligodendrocytes,2_76,7_7,67
3,68,1354.0,1217.6,Cortex,5,Excitatory neuron,3_68,7_7,67
6,75,1282.9,1233.3,Choroid Plexus,1,Endothelial,6_75,7_7,67
5,39,1332.6,1226.4,SVZ,24,Interneuron,5_39,7_7,67
6,15,1230.4,1286.5,Choroid Plexus,1,Endothelial,6_15,7_7,67
5,265,1340.4,1324.3,SVZ,26,Unannotated,5_265,7_7,67
0,35,1342.6,1294.3,Cortex,2,Endothelial,0_35,7_7,67
0,39,1363.8,1434.1,Cortex,20,Microglia,0_39,7_8,68
5,273,1263.1,1422.6,SVZ,15,Interneuron,5_273,7_8,68
6,18,1269.7,1373.6,Choroid Plexus,1,Endothelial,6_18,7_8,68
0,38,1272.8,1436.4,Cortex,2,Endothelial,0_38,7_8,68
6,106,1344.3,1429.5,Choroid Plexus,1,Endothelial,6_106,7_8,68
6,81,1278.7,1487.1,Choroid Plexus,1,Endothelial,6_81,7_8,68
2,33,1281.7,1370.7,Cortex,13,Excitatory neuron,2_33,7_8,68
5,272,1338.9,1394.3,SVZ,19,Astrocytes,5_272,7_8,68
4,56,1352.4,1463.7,Cortex,4,Excitatory neuron,4_56,7_8,68
3,82,1297.3,1513.0,Cortex,19,Astrocytes,3_82,7_8,68
1,86,1241.1,1416.5,Cortex,2,Endothelial,1_86,7_8,68
1,83,1326.7,1369.9,Cortex,13,Excitatory neuron,1_83,7_8,68
6,82,1368.5,1494.7,Choroid Plexus,2,Endothelial,6_82,7_8,68
6,80,1295.1,1433.7,Choroid Plexus,1,Endothelial,6_80,7_8,68
3,93,1219.8,1647.5,Cortex,5,Excitatory neuron,3_93,7_9,69
2,56,1371.3,1629.1,Cortex,2,Endothelial,2_56,7_9,69
6,24,1331.7,1548.7,Choroid Plexus,2,Endothelial,6_24,7_9,69
6,30,1256.8,1668.7,Choroid Plexus,1,Endothelial,6_30,7_9,69
0,116,1336.0,1556.2,Cortex,2,Endothelial,0_116,7_9,69
0,118,1383.3,1777.0,Cortex,10,Astrocytes,0_118,7_10,70
2,44,1327.8,1779.7,Cortex,18,Excitatory neuron,2_44,7_10,70
1,1,1378.7,1786.5,Cortex,3,Excitatory neuron,1_1,7_10,70
0,66,1561.7,242.0,Cortex,20,Microglia,0_66,8_1,71
5,117,1544.4,254.09,SVZ,12,Excitatory neuron,5_117,8_1,71
2,45,1507.3,242.2,Cortex,16,Oligodendrocytes,2_45,8_1,71
5,118,1507.1,298.37,SVZ,15,Interneuron,5_118,8_1,71
3,3,1495.3,205.83,Cortex,2,Endothelial,3_3,8_1,71
0,64,1458.0,207.93,Cortex,3,Excitatory neuron,0_64,8_1,71
5,54,1462.6,224.22,SVZ,15,Interneuron,5_54,8_1,71
2,48,1415.4,428.59,Cortex,5,Excitatory neuron,2_48,8_2,72
4,8,1535.8,411.86,Cortex,2,Endothelial,4_8,8_2,72
5,127,1534.4,434.05,SVZ,14,Astrocytes,5_127,8_2,72
2,46,1522.7,378.56,Cortex,11,Excitatory neuron,2_46,8_2,72
5,122,1518.6,367.08,SVZ,11,Excitatory neuron,5_122,8_2,72
1,22,1512.5,313.9,Cortex,9,Excitatory neuron,1_22,8_2,72
6,33,1503.9,441.39,Choroid Plexus,1,Endothelial,6_33,8_2,72
4,5,1496.1,341.25,Cortex,10,Astrocytes,4_5,8_2,72
5,126,1494.0,425.43,SVZ,8,Astrocytes,5_126,8_2,72
5,123,1571.7,389.54,SVZ,8,Astrocytes,5_123,8_2,72
3,14,1468.1,459.06,Cortex,23,Interneuron,3_14,8_2,72
1,25,1456.6,472.5,Cortex,6,Excitatory neuron,1_25,8_2,72
5,119,1569.1,325.61,SVZ,23,Interneuron,5_119,8_2,72
5,120,1433.7,327.44,SVZ,14,Astrocytes,5_120,8_2,72
0,69,1428.9,334.44,Cortex,3,Excitatory neuron,0_69,8_2,72
5,128,1436.6,441.98,SVZ,12,Excitatory neuron,5_128,8_2,72
4,11,1431.2,506.98,Cortex,2,Endothelial,4_11,8_3,73
2,50,1484.8,523.33,Cortex,19,Astrocytes,2_50,8_3,73
6,91,1494.6,534.57,Choroid Plexus,1,Endothelial,6_91,8_3,73
4,15,1457.3,591.01,Cortex,4,Excitatory neuron,4_15,8_3,73
5,132,1514.1,495.4,SVZ,19,Astrocytes,5_132,8_3,73
5,136,1451.1,530.33,SVZ,19,Astrocytes,5_136,8_3,73
5,131,1446.7,478.94,SVZ,12,Excitatory neuron,5_131,8_3,73
5,72,1416.1,556.32,SVZ,14,Astrocytes,5_72,8_3,73
0,76,1418.1,480.91,Cortex,6,Excitatory neuron,0_76,8_3,73
1,26,1464.7,538.64,Cortex,6,Excitatory neuron,1_26,8_3,73
1,39,1581.2,832.92,Cortex,6,Excitatory neuron,1_39,8_4,74
6,94,1557.5,753.37,Choroid Plexus,1,Endothelial,6_94,8_4,74
3,33,1559.7,768.01,Cortex,11,Excitatory neuron,3_33,8_4,74
2,52,1474.1,692.95,Cortex,13,Excitatory neuron,2_52,8_4,74
1,36,1439.6,704.34,Cortex,9,Excitatory neuron,1_36,8_4,74
4,20,1462.6,694.32,Cortex,4,Excitatory neuron,4_20,8_4,74
3,31,1441.5,790.49,Cortex,10,Astrocytes,3_31,8_4,74
6,3,1462.7,704.52,Choroid Plexus,1,Endothelial,6_3,8_4,74
5,184,1583.8,941.25,SVZ,26,Unannotated,5_184,8_5,75
1,40,1496.8,836.92,Cortex,3,Excitatory neuron,1_40,8_5,75
1,46,1495.1,955.24,Cortex,9,Excitatory neuron,1_46,8_5,75
3,51,1539.6,947.81,Cortex,16,Oligodendrocytes,3_51,8_5,75
0,103,1460.8,940.49,Cortex,3,Excitatory neuron,0_103,8_5,75
5,188,1477.6,954.21,SVZ,22,Endothelial,5_188,8_5,75
6,60,1584.1,994.19,Choroid Plexus,1,Endothelial,6_60,8_5,75
5,194,1547.1,972.6,SVZ,11,Excitatory neuron,5_194,8_5,75
3,52,1473.9,1010.6,Cortex,6,Excitatory neuron,3_52,8_5,75
5,178,1469.7,914.39,SVZ,22,Endothelial,5_178,8_5,75
5,179,1531.2,918.7,SVZ,22,Endothelial,5_179,8_5,75
4,26,1476.8,883.76,Cortex,25,Oligodendrocytes,4_26,8_5,75
0,97,1502.4,839.0,Cortex,3,Excitatory neuron,0_97,8_5,75
5,28,1559.4,1127.3,SVZ,24,Interneuron,5_28,8_6,76
6,61,1437.4,1025.0,Choroid Plexus,1,Endothelial,6_61,8_6,76
